k,security_bits,type,bitlen,time_us
16,16,EC,32,12.730529
16,16,EC,32,13.760588
16,16,EC,32,12.972471
16,16,EC,32,12.260941
16,16,EC,32,12.645529
16,16,EC,32,12.562647
16,16,EC,32,12.567294
16,16,EC,32,12.432059
16,16,EC,32,12.661353
16,16,EC,32,12.567176
16,16,EC,32,12.597235
16,16,EC,32,12.886529
16,16,EC,32,12.774412
16,16,EC,32,12.276235
16,16,EC,32,12.411000
16,16,EC,32,12.685000
16,16,EC,32,12.867412
16,16,EC,32,12.961706
16,16,EC,32,12.419471
16,16,EC,32,12.706176
16,16,EC,32,13.029588
16,16,EC,32,12.618765
16,16,EC,32,12.516000
16,16,EC,32,12.508588
16,16,EC,32,12.309471
16,16,EC,32,12.989000
16,16,EC,32,15.886647
16,16,EC,32,21.823353
16,16,EC,32,17.389706
16,16,EC,32,13.205706
16,16,EC,32,12.652765
16,16,EC,32,13.879647
16,16,EC,32,26.812765
16,16,EC,32,32.061706
16,16,EC,32,13.285471
16,16,EC,32,13.064824
16,16,EC,32,13.628294
16,16,EC,32,13.409471
16,16,EC,32,13.385176
16,16,EC,32,16.923176
16,16,EC,32,14.398765
16,16,EC,32,14.134000
16,16,EC,32,14.345235
16,16,EC,32,14.319588
16,16,EC,32,13.663588
16,16,EC,32,13.638529
16,16,EC,32,13.924471
16,16,EC,32,14.483882
16,16,EC,32,13.586471
16,16,EC,32,13.224471
16,16,EC,32,14.260235
16,16,EC,32,14.184824
16,16,EC,32,14.105765
16,16,EC,32,13.825882
16,16,EC,32,13.584529
16,16,EC,32,13.536824
16,16,EC,32,14.111471
16,16,EC,32,13.246765
16,16,EC,32,13.541882
16,16,EC,32,14.004176
16,16,EC,32,12.866765
16,16,EC,32,12.924118
16,16,EC,32,12.784235
16,16,EC,32,12.674353
16,16,EC,32,13.028824
16,16,EC,32,12.854588
16,16,EC,32,12.895353
16,16,EC,32,12.488176
16,16,EC,32,12.562941
16,16,EC,32,12.293118
16,16,EC,32,12.482294
16,16,EC,32,12.571235
16,16,EC,32,100.125824
16,16,EC,32,13.661882
16,16,EC,32,12.184176
16,16,EC,32,12.632529
16,16,EC,32,13.006412
16,16,EC,32,12.926706
16,16,EC,32,12.289059
16,16,EC,32,12.510529
16,16,EC,32,12.415412
16,16,EC,32,12.754176
16,16,EC,32,12.547471
16,16,EC,32,12.720059
16,16,EC,32,12.808471
16,16,EC,32,12.793176
16,16,EC,32,12.521647
16,16,EC,32,12.555059
16,16,EC,32,12.649824
16,16,EC,32,12.666294
16,16,EC,32,13.100118
16,16,EC,32,12.318118
16,16,EC,32,12.440882
16,16,EC,32,12.509529
16,16,EC,32,12.928353
16,16,EC,32,12.922118
16,16,EC,32,12.292235
16,16,EC,32,13.163176
16,16,EC,32,12.586529
16,16,EC,32,12.986118
16,16,EC,32,12.685647
16,16,EC,32,12.702765
16,16,EC,32,12.669059
16,16,EC,32,13.181529
16,16,EC,32,12.786706
16,16,EC,32,12.855941
16,16,EC,32,12.082882
16,16,EC,32,12.264000
16,16,EC,32,12.537941
16,16,EC,32,14.417353
16,16,EC,32,12.719000
16,16,EC,32,12.717471
16,16,EC,32,12.786412
16,16,EC,32,13.050235
16,16,EC,32,12.789353
16,16,EC,32,12.684294
16,16,EC,32,12.922588
16,16,EC,32,13.907412
16,16,EC,32,12.528706
16,16,EC,32,12.396529
16,16,EC,32,12.511765
16,16,EC,32,12.363824
16,16,EC,32,13.327353
16,16,EC,32,12.693647
16,16,EC,32,12.403882
16,16,EC,32,12.716118
16,16,EC,32,14.826647
16,16,EC,32,12.876353
16,16,EC,32,12.698882
16,16,EC,32,12.777000
16,16,EC,32,12.564235
16,16,EC,32,13.464941
16,16,EC,32,12.212882
